title,targets,authors
Low-density parity check codes over GF(q),Physics and complexity,"Matthew C. Davey,David J. C. MacKay","David Sherrington"
Low-density parity check codes over GF(q),On Coset Leader Graphs of LDPC codes,"Matthew C. Davey,David J. C. MacKay","Eran Iceland,Alex Samorodnitsky"
Low-density parity check codes over GF(q),Error Floors of LDPC Coded BICM,"Matthew C. Davey,David J. C. MacKay","Aditya Ramamoorthy,Nedeljko Varnica"
Low-density parity check codes over GF(q),Exploiting the Error-correcting Capabilities of Low Density Parity Check Codes in Distributed Video Coding Using Optical Flow,"Matthew C. Davey,David J. C. MacKay","Lars Lau Rakêt,Jacob Søgaard,Matteo Salmistraro,Huynh Van Luong,Søren Forchhammer"
Low-density parity check codes over GF(q),Forced Convergence Decoding of LDPC Codes – EXIT Chart Analysis and Combination with Node Complexity Reduction Techniques,"Matthew C. Davey,David J. C. MacKay","Ernesto Zimmermann,Wolfgang Rave,Gerhard Fettweis"
Low-density parity check codes over GF(q),Design and Synthesis of Binary Ldpc Decoder,"Matthew C. Davey,David J. C. MacKay","Ms Rashmi,Mr Naveen K B,Mr Ananda Raju"
Low-density parity check codes over GF(q),Dynamic Power Management for the Iterative Decoding of Turbo Codes,"Matthew C. Davey,David J. C. MacKay","Erick Amador,Raymond Knopp,Renaud Pacalet,Vincent Rezard"
Low-density parity check codes over GF(q),Upper bound on error exponent of regular LDPC codes transmitted over the BEC,"Matthew C. Davey,David J. C. MacKay","Idan Goldenberg,David Burshtein"
Low-density parity check codes over GF(q),Hybrid hard-decision iterative decoding of regular low-density parity-check codes,"Matthew C. Davey,David J. C. MacKay","Pirouz Zarrinkhat,Amir H. Banihashemi"
Low-density parity check codes over GF(q),Comparaison De Performance Et De Complexité D'algorithmes De Décodage Pondéré De Code Cortex,"Matthew C. Davey,David J. C. MacKay","Patrick Adde,Matthieu Arzel"
Low-density parity check codes over GF(q),Variable-rate Coding with Feedback for Universal Communication Systems *,"Matthew C. Davey,David J. C. MacKay","Shriram Sarvotham,Dror Baron,Richard G Baraniuk"
Low-density parity check codes over GF(q),Tree Expectation Propagation for ML Decoding of LDPC Codes over the BEC,"Matthew C. Davey,David J. C. MacKay","Luis Salamanca,Pablo M. Olmos,Juan José Murillo-Fuentes,Fernando Pérez-Cruz"
Low-density parity check codes over GF(q),A Novel Approach to Built an Area Efficient Architecture for Block Ldpc Codes,"Matthew C. Davey,David J. C. MacKay","M Devika"
Low-density parity check codes over GF(q),An improved low-complexity sum-product decoding algorithm for low-density parity-check codes,"Matthew C. Davey,David J. C. MacKay",""
Low-density parity check codes over GF(q),Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds,"Matthew C. Davey,David J. C. MacKay","Roxana Smarandache,Pascal O. Vontobel"
Low-density parity check codes over GF(q),Development and Verification of Iterative Decoder for LDPC-RS Product Codes,"Matthew C. Davey,David J. C. MacKay","K S Gurumurthy"
Low-density parity check codes over GF(q),Analysis and Design of Binary Message Passing Decoders,"Matthew C. Davey,David J. C. MacKay","Gottfried Lechner,Troels Pedersen,Gerhard Kramer"
Low-density parity check codes over GF(q),On the Impact of Information Theory on Today's Communication Technology,"Matthew C. Davey,David J. C. MacKay","Johannes B Huber,Robert F H Fischer"
Low-density parity check codes over GF(q),Construction of Irregular QC-LDPC Codes in Near-Earth Communications,"Matthew C. Davey,David J. C. MacKay","Hui Zhao,Xiaoxiao Bao,Liang Qin,Ruyan Wang,Hong Zhang"
Low-density parity check codes over GF(q),Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels,"Matthew C. Davey,David J. C. MacKay","Jilei Hou,Paul H. Siegel,Laurence B. Milstein"
Low-density parity check codes over GF(q),Iterative decoding beyond belief propagation,"Matthew C. Davey,David J. C. MacKay","Shiva Kumar Planjery,Shashi Kiran Chilappagari,Bane V. Vasic,David Declercq,Ludovic Danjean"
Low-density parity check codes over GF(q),A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and Correcting,"Matthew C. Davey,David J. C. MacKay","Yingxian Zhang,Xiaofei Pan,Kegang Pan,Zhan Ye,Chao Gong"
Low-density parity check codes over GF(q),Sparse Binary Matrices of LDPC Codes for Compressed Sensing,"Matthew C. Davey,David J. C. MacKay","Weizhi Lu,Kidiyo Kpalma,Joseph Ronsin"
Low-density parity check codes over GF(q),CS image reconstruction by novel small length LDPC code,"Matthew C. Davey,David J. C. MacKay",""
Low-density parity check codes over GF(q),A two stage selective averaging LDPC decoding,"Matthew C. Davey,David J. C. MacKay","A. Dinesh Kumar,Ambedkar Dukkipati"
Low-density parity check codes over GF(q),On the Parity-Check Density and Achievable Rates of LDPC Codes,"Matthew C. Davey,David J. C. MacKay","Gil Wiechman,Igal Sason"
Low-density parity check codes over GF(q),Code Optimization for Lossless Turbo Source Coding,"Matthew C. Davey,David J. C. MacKay","Nicolas Dütsch"
Low-density parity check codes over GF(q),A permutation decomposition based algorithm for the design of prunable interleavers for parallel turbo decoder architectures,"Matthew C. Davey,David J. C. MacKay","Libero Dinoi,Alberto Tarable,Sergio Benedetto"
Low-density parity check codes over GF(q),Performance Evaluation of Adaptive Ldpc Coded Modulation Cooperative Wireless Communication System with Best-relay Selection,"Matthew C. Davey,David J. C. MacKay","Ahmed S Mohamed,Mohammed Abd-Elnaby,Sami A El-Dolil"
